Species name,Full name,Family,Subfamily,Genus,Species,ID,Voucher,Dataset,COI-barcode,COI-3',nuclear,voucher_identical,ArgKin,CAD,DDC,EF-1a,GAPDH,H3,IDH,MDH,RpS2,RpS5,wingless,Remarks
Colias aurorina,"Colias aurorina Herrich-Schäffer, 1850",Pieridae,Coliadinae,Colias,aurorina,AC21-8,AC21-8,Pieridae,MN752704,MN752704,TRUE,TRUE,,,,EF457742,,,,,,,,
Colias caucasica,"Colias caucasica Staudinger, 1871",Pieridae,Coliadinae,Colias,caucasica,ColCau,ColCau,Pieridae,AF073943,,FALSE,#N/A,,,,,,,,,,,,
Colias chrysotheme,"Colias chrysotheme (Esper, 1781)",Pieridae,Coliadinae,Colias,chrysotheme,AC8-13,AC8-13,Pieridae,MN752705,MN752705,FALSE,TRUE,,,,,,,,,,,,
Colias crocea,"Colias crocea (Geoffroy, 1785)",Pieridae,Coliadinae,Colias,crocea,NW17723,NW17723,Pieridae,MN752706,MN752706,TRUE,FALSE,,MN752805,,MN752736,MN752795,,MN752771,,,MN752760,PRJNA432311,
Colias erate,"Colias erate (Esper, 1805)",Pieridae,Coliadinae,Colias,erate,AC8-10,AC8-10,Pieridae,KM046804,KM046804,TRUE,TRUE,,,,HM236307,,,,,,,HM236308,
Colias hecla,"Colias hecla Lefèbvre, 1836",Pieridae,Coliadinae,Colias,hecla,cpm6,cpm6,Pieridae,EU583873,EU583873,FALSE,TRUE,,,,,,,,,,,,
Colias hyale,"Colias hyale (Linnaeus, 1758)",Pieridae,Coliadinae,Colias,hyale,AC9-2,AC9-2,Pieridae,MN752707,MN752707,TRUE,TRUE,,,,EF457744,,,,,,,,
Colias myrmidone,"Colias myrmidone (Esper, 1781)",Pieridae,Coliadinae,Colias,myrmidone,RV06V650,RV06V650,Pieridae,HQ004303,,FALSE,#N/A,,,,,,,,,,,,
Colias palaeno,"Colias palaeno (Linnaeus, 1760)",Pieridae,Coliadinae,Colias,palaeno,MM03233,MM03233,Pieridae,GU828690,GU828486,TRUE,TRUE,,GU828181,,GU829301,GU829810,,GU830077,GU830394,,GU830680,GU829570,
Colias phicomone,"Colias phicomone (Esper, 1780)",Pieridae,Coliadinae,Colias,phicomone,AC8-11,AC8-11,Pieridae,MN752708,MN752708,FALSE,TRUE,,,,,,,,,,,,
Colias tyche,"Colias tyche (Böber, 1812)",Pieridae,Coliadinae,Colias,tyche,MZH_JL5,MZH_JL5,Pieridae,HE775148,,TRUE,TRUE,,,,,,,,,HE775204,,,
Colotis evagore,"Colotis evagore (Klug, 1829)",Pieridae,Pierinae,Colotis,evagore,NP13A032,NP13A032,Pieridae,PRJNA432311,PRJNA432311,TRUE,FALSE,,PRJNA432311,,JF293340,PRJNA432311,,PRJNA432311,PRJNA432311,PRJNA432311,PRJNA432311,PRJNA432311,
Cupido alcetas,"Cupido alcetas (Hoffmansegg, 1804)",Lycaenidae,Polyommatinae,Cupido,alcetas,MAT99Q954,MAT99Q954,Lycaenidae,KP824778,KP824778,TRUE,TRUE,,,,KP824781,,KP824787,,,,,KP824791,
Cupido argiades,"Cupido argiades (Pallas, 1771)",Lycaenidae,Polyommatinae,Cupido,argiades,CupArg,CupArg,Lycaenidae,GU372537,GU372537,TRUE,TRUE,,,,GU372629,,,,,,,,
Cupido decoloratus,"Cupido decoloratus (Staudinger, 1886)",Lycaenidae,Polyommatinae,Cupido,decoloratus,RV08M655,RV08M655,Lycaenidae,HQ004326,,TRUE,FALSE,,,,KJ671885,,,,,,,,
Cupido lorquinii,"Cupido lorquinii (Herrich-Schäffer, 1850)",Lycaenidae,Polyommatinae,Cupido,lorquinii,RV08L009,RV08L009,Lycaenidae,GU676459,,FALSE,#N/A,,,,,,,,,,,,
Cupido minimus,"Cupido minimus (Fuessly, 1775)",Lycaenidae,Polyommatinae,Cupido,minimus,AD00P540,AD00P540,Lycaenidae,GQ128947,GQ128947,TRUE,TRUE,,GQ128563,,GQ128636,,,,,,,GQ128845,
Cupido osiris,"Cupido osiris (Meigen, 1829)",Lycaenidae,Polyommatinae,Cupido,osiris,RV08M567,RV08M567,Lycaenidae,HQ004341,,TRUE,FALSE,,,,KJ671887,,,,,,,,
Cyaniris semiargus,"Cyaniris semiargus (Rottemburg, 1775)",Lycaenidae,Polyommatinae,Cyaniris,semiargus,AD00P369,AD00P369,Lycaenidae,JX093483,JX093483,TRUE,FALSE,,JX093260,,JX093301,,JX093339,,,,,JX093413,
Cyclyrius webbianus,"Cyclyrius webbianus (Brullé, 1839)",Lycaenidae,Polyommatinae,Cyclyrius,webbianus,MW15001,MW15001,Lycaenidae,KU648394,KU648394,FALSE,TRUE,,,,,,,,,,,,
Danaus chrysippus,"Danaus chrysippus (Linnaeus, 1758)",Nymphalidae,Danainae,Danaus,chrysippus,DL-12-A049,DL-12-A049,Danainae,KP007606,KP007606,TRUE,TRUE,,,,KP007757,,,,KP008036,KP008079,,KP007883,
Danaus plexippus,"Danaus plexippus (Linnaeus, 1758)",Nymphalidae,Danainae,Danaus,plexippus,NW108-21,NW108-21,Danainae,DQ018954,DQ018954,TRUE,TRUE,,EU141304,,DQ018921,EU141486,,EU141540,EU141605,EU141667,EU141382,DQ018891,
Erebia aethiopellus,"Erebia aethiopellus (Hoffmansegg, 1806)",Nymphalidae,Satyrinae,Erebia,aethiopellus,HW1-1,HW1-1,Satyrinae2,KR138756,,TRUE,TRUE,,,,,KR139008,,,,,,KR139118,
Erebia aethiops,"Erebia aethiops (Esper, 1777)",Nymphalidae,Satyrinae,Erebia,aethiops,HW4-4,HW4-4,Satyrinae2,KR138772,KR138772,TRUE,TRUE,,,,,KR139021,,,,,KR138907,KR139132,
Erebia albergana,"Erebia albergana (Prunner, 1798)",Nymphalidae,Satyrinae,Erebia,albergana,JM8-12,JM8-12,Satyrinae2,KR138816,,TRUE,TRUE,,,,,KR139056,,,,,KR138946,KR231856,
Erebia arvernensis,"Erebia arvernensis Oberthür, 1908",Nymphalidae,Satyrinae,Erebia,arvernensis,EreArv,EreArv,Satyrinae2,AY346222,,FALSE,#N/A,,,,,,,,,,,,
Erebia calcarius,"Erebia calcarius Lorković, 1953",Nymphalidae,Satyrinae,Erebia,calcarius,SIMGT1-05,SIMGT1-05,Satyrinae2,KX241499,KX241499,FALSE,TRUE,,,,,,,,,,,,
Erebia callias,"Erebia callias Edwards, 1871",Nymphalidae,Satyrinae,Erebia,callias,JM9-3,JM9-3,Satyrinae2,KR138824,KR138824,TRUE,TRUE,,,,,KR139062,,,,,KR138954,KR139159,
Erebia cassioides,"Erebia cassioides (Hohenwarth, 1792)",Nymphalidae,Satyrinae,Erebia,cassioides,NW162-18,NW162-18,Satyrinae2,KR138836,KR138836,TRUE,TRUE,,,,MN752742,KR139071,,,,,KR138966,KR231857,
Erebia christi,"Erebia christi Rätzer, 1890",Nymphalidae,Satyrinae,Erebia,christi,XM00001,XM00001,Satyrinae2,MN829479,MN829479,FALSE,TRUE,,,,,,,,,,,,
Erebia claudina,"Erebia claudina (Borkhausen, 1789)",Nymphalidae,Satyrinae,Erebia,claudina,RW80003,RW80003,Satyrinae2,MN829480,MN829480,FALSE,TRUE,,,,,,,,,,,,
Erebia cyclopius,"Erebia cyclopius (Eversmann, 1844)",Nymphalidae,Satyrinae,Erebia,cyclopius,CB10-4,2005-LOWA-750,Satyrinae2,FJ663475,KR138852,TRUE,FALSE,,,,,KR138974,,,,,KR138855,KR139082,
Erebia dabanensis,"Erebia dabanensis Erschoff, 1872",Nymphalidae,Satyrinae,Erebia,dabanensis,IS-137,IS-137,Satyrinae2,LC340560,LC340690,TRUE,FALSE,,,,,KR139034,,,,,KR138919,KR139148,
Erebia disa,"Erebia disa (Thunberg, 1791)",Nymphalidae,Satyrinae,Erebia,disa,PM11-03,PM11-03,Satyrinae2,KR138841,KR138841,TRUE,TRUE,,,,,KR139075,,,,,KR138971,KR139165,
