Species name,Full name,Family,Subfamily,Genus,Species,ID,Voucher,Dataset,COI-barcode,COI-3',nuclear,voucher_identical,ArgKin,CAD,DDC,EF-1a,GAPDH,H3,IDH,MDH,RpS2,RpS5,wingless,Remarks
Erebia montana,"Erebia montana (Prunner, 1798)",Nymphalidae,Satyrinae,Erebia,montana,HW1-25,TLMF_Lep_12599,Satyrinae2,KP253390,KR138844,TRUE,TRUE,,,,,KR139014,,,,,KR138897,KR139124,
Erebia neleus,"Erebia neleus (Freyer, 1832)",Nymphalidae,Satyrinae,Erebia,neleus,RV-06-V703,RV06V703,Satyrinae2,HQ004362,,FALSE,#N/A,,,,,,,,,,,,
Erebia neoridas,"Erebia neoridas (Boisduval, 1828)",Nymphalidae,Satyrinae,Erebia,neoridas,JM10-14,JM10-14,Satyrinae2,KR138801,KR138801,TRUE,TRUE,,,,,KR139044,,,,,KR138930,KR139156,
Erebia nivalis,"Erebia nivalis Lorković & Lesse, 1954",Nymphalidae,Satyrinae,Erebia,nivalis,BC_ZSM_Lep_53286,BC_ZSM_Lep_53286,Satyrinae2,KX044305,,FALSE,#N/A,,,,,,,,,,,,
Erebia oeme,"Erebia oeme (Hübner, 1804)",Nymphalidae,Satyrinae,Erebia,oeme,EW24-7,EW24-7,Satyrinae2,DQ338780,DQ338780,TRUE,TRUE,EU141255,EU141296,,DQ338923,EU141479,,EU141532,EU141597,EU141661,EU141375,DQ338640,
Erebia orientalis,"Erebia orientalis Elwes, 1900",Nymphalidae,Satyrinae,Erebia,orientalis,HW6-11,HW6-11,Satyrinae2,KR138782,KR138782,TRUE,TRUE,,,,,KR139027,,,,,,,
Erebia ottomana,"Erebia ottomana Herrich-Schäffer, 1847",Nymphalidae,Satyrinae,Erebia,ottomana,JM9-6,JM9-6,Satyrinae2,KR138826,KR138826,TRUE,TRUE,,,,,KR139064,,,,,KR138956,KR231878,
Erebia palarica,"Erebia palarica Chapman, 1905",Nymphalidae,Satyrinae,Erebia,palarica,EW9-4,EW9-4,Satyrinae2,KR138755,KR138755,TRUE,TRUE,,,,AY090178,GQ357422,,,,,GQ357551,KR139117,
Erebia pandrose,"Erebia pandrose (Borkhausen, 1788)",Nymphalidae,Satyrinae,Erebia,pandrose,AB7-2,AB7-2,Satyrinae2,KR138708,KR138708,TRUE,TRUE,,,,,KR138972,,,,,KR138853,KR139076,
Erebia pharte,"Erebia pharte (Hübner, 1804)",Nymphalidae,Satyrinae,Erebia,pharte,JM8-13,JM8-13,Satyrinae2,KR138817,KR138817,TRUE,TRUE,,,,,KR139057,,,,,KR138947,KR231881,
Erebia pluto,"Erebia pluto (Prunner, 1798)",Nymphalidae,Satyrinae,Erebia,pluto,CB1-2,BC_ZSM_Lep_50318,Satyrinae2,KX040618,KR138846,TRUE,TRUE,,,,,KR138981,,,,,KR138862,KR139089,
Erebia polaris,"Erebia polaris Staudinger, 1861",Nymphalidae,Satyrinae,Erebia,polaris,MM10584,MM10584,Satyrinae2,HQ570389,,FALSE,#N/A,,,,,,,,,,,,
Erebia pronoe,"Erebia pronoe (Esper, 1780)",Nymphalidae,Satyrinae,Erebia,pronoe,HW5-8,HW5-8,Satyrinae2,KR138780,KR138780,TRUE,TRUE,,,,,KR139026,,,,,KR138912,KR139138,
Erebia rhodopensis,"Erebia rhodopensis Nicholl, 1900",Nymphalidae,Satyrinae,Erebia,rhodopensis,HW5-10,HW5-10,Satyrinae2,KR138773,KR138773,TRUE,TRUE,,,,,,,,,,,KR139133,
Erebia rondoui,"Erebia rondoui Oberthür, 1908",Nymphalidae,Satyrinae,Erebia,rondoui,RV08R184,RV08R184,Satyrinae2,KP870785,,FALSE,#N/A,,,,,,,,,,,,
Erebia rossii,"Erebia rossii (Curtis, 1835)",Nymphalidae,Satyrinae,Erebia,rossii,JM10-13,JM10-13,Satyrinae2,KR138800,KR138800,TRUE,TRUE,,,,,KR139043,,,,,KR138929,KR231882,
Erebia scipio,"Erebia scipio Boisduval, 1833",Nymphalidae,Satyrinae,Erebia,scipio,ZF-LY-002100,ZF-LY-002100,Satyrinae2,LC340559,,FALSE,#N/A,,,,,,,,,,,,
Erebia sthennyo,"Erebia sthennyo Graslin, 1850",Nymphalidae,Satyrinae,Erebia,sthennyo,EW24-1,EW24-1,Satyrinae2,KR138748,KR138748,TRUE,TRUE,,,,DQ338924,KR139005,,,,,KR138885,DQ338641,
Erebia stiria,"Erebia stiria (Godart, 1824)",Nymphalidae,Satyrinae,Erebia,stiria,IS-133,IS-133,Satyrinae2,MN752712,MN752712,FALSE,TRUE,,,,,,,,,,,,
Erebia styx,"Erebia styx (Freyer, 1834)",Nymphalidae,Satyrinae,Erebia,styx,IS-65,IS-65,Satyrinae2,KR138797,KR138797,TRUE,TRUE,,,,,KR139040,,,,,KR138925,KR139154,
Erebia sudetica,"Erebia sudetica Staudinger, 1861",Nymphalidae,Satyrinae,Erebia,sudetica,RV07E474,RV07E474,Satyrinae2,HQ004450,,TRUE,TRUE,,,,,,,,,,KR138960,,
Erebia triarius,"Erebia triarius (Prunner, 1798)",Nymphalidae,Satyrinae,Erebia,triarius,EW9-2,EW9-2,Satyrinae2,MN752713,MN752713,TRUE,TRUE,,,,DQ338925,MN752778,,,,,MN752750,MN752831,
Erebia tyndarus,"Erebia tyndarus (Esper, 1781)",Nymphalidae,Satyrinae,Erebia,tyndarus,HW2-12,HW2-12,Satyrinae2,MN752714,MN752714,TRUE,TRUE,,,,,MN752779,,,,,MN752752,MN752832,
Erebia zapateri,"Erebia zapateri Oberthür, 1875",Nymphalidae,Satyrinae,Erebia,zapateri,RV08L259,RV08L259,Satyrinae2,KP871117,,FALSE,#N/A,,,,,,,,,,,,
Erynnis marloyi,"Erynnis marloyi (Boisduval, 1834)",Hesperiidae,Pyrginae,Erynnis,marloyi,HSPEC673-11,HESP-EB_01608,Pyrginae,JF851939,,FALSE,#N/A,,,,,,,,,,,,
Erynnis tages,"Erynnis tages (Linnaeus, 1758)",Hesperiidae,Pyrginae,Erynnis,tages,RV08M309,RV08M309,Pyrginae,HQ004461,,TRUE,FALSE,,,,,,,,,,,EU442875,
Euchloe ausonia,"Euchloe ausonia (Hübner, 1804)",Pieridae,Pierinae,Euchloe,ausonia,RV08M455,RV08M455,Pieridae,HQ004469,,FALSE,#N/A,,,,,,,,,,,,
Euchloe bazae,"Euchloe bazae Fabiano, 1993",Pieridae,Pierinae,Euchloe,bazae,RVcoll.10-A203,RV10A203,Pieridae,KP871161,,FALSE,#N/A,,,,,,,,,,,,
Euchloe belemia,"Euchloe belemia (Esper, 1800)",Pieridae,Pierinae,Euchloe,belemia,RVcoll.11-D924,RV11D924,Pieridae,KP870588,KP870588,FALSE,TRUE,,,,,,,,,,,,
Euchloe charlonia,"Euchloe charlonia (Donzel, 1842)",Pieridae,Pierinae,Euchloe,charlonia,NW107-2,MT07001,Pieridae,KC462784,,TRUE,FALSE,,KM046913,,KM046911,KM046861,,,KM046689,,KM046621,KM046571,
Euchloe crameri,"Euchloe crameri Butler, 1869",Pieridae,Pierinae,Euchloe,crameri,BAFec004,BAFec004,Pieridae,EU700964,EU700964,FALSE,TRUE,,,,,,,,,,,,
Euchloe eversi,"Euchloe eversi Stamm, 1963",Pieridae,Pierinae,Euchloe,eversi,BAFebe003,BAFebe003,Pieridae,EU700946,EU700946,FALSE,TRUE,,,,,,,,,,,,
Euchloe grancanariensis,"Euchloe grancanariensis Acosta, 2008",Pieridae,Pierinae,Euchloe,grancanariensis,BAFebg003,BAFebg003,Pieridae,EU700949,EU700949,FALSE,TRUE,,,,,,,,,,,,
Euchloe hesperidum,"Euchloe hesperidum Rothschild, 1913",Pieridae,Pierinae,Euchloe,hesperidum,BAFebh002,BAFebh002,Pieridae,EU700951,EU700951,FALSE,TRUE,,,,,,,,,,,,
Euchloe insularis,"Euchloe insularis (Staudinger, 1861)",Pieridae,Pierinae,Euchloe,insularis,WMB2453-13,WMB2453-13,Pieridae,MN141833,,FALSE,#N/A,,,,,,,,,,,,
Euchloe penia,"Euchloe penia (Freyer, 1851)",Pieridae,Pierinae,Euchloe,penia,kmbs-WB031,kmbs-WB031,Pieridae,AM418415,,FALSE,#N/A,,,,,,,,,,,,
Euchloe simplonia,"Euchloe simplonia (Freyer, 1829)",Pieridae,Pierinae,Euchloe,simplonia,BC_Back_0059,BC_Back_0059,Pieridae,KX071573,,FALSE,#N/A,,,,,,,,,,,,
Euchloe tagis,"Euchloe tagis (Hübner, 1804)",Pieridae,Pierinae,Euchloe,tagis,BAFet002,BAFet002,Pieridae,EU700960,EU700960,FALSE,TRUE,,,,,,,,,,,,
Eumedonia eumedon,"Eumedonia eumedon (Esper, 1780)",Lycaenidae,Polyommatinae,Eumedonia,eumedon,AD03B062,AD03B062,Lycaenidae,GQ128953,GQ128953,TRUE,TRUE,,GQ128570,,GQ128642,,GQ128744,,,,,GQ128851,
Euphydryas aurinia,"Euphydryas aurinia (Rottemburg, 1775)",Nymphalidae,Nymphalinae,Euphydryas,aurinia,NW6-4,NW6-4,Nymphalinae,AF187746,AF187746,TRUE,TRUE,,,,AY788743,,,,,,,AY788504,
Euphydryas cynthia,"Euphydryas cynthia ([Denis & Schiffermüller], 1775)",Nymphalidae,Nymphalinae,Euphydryas,cynthia,NW6-2,NW6-2,Nymphalinae,AF153925,,FALSE,#N/A,,,,,,,,,,,,
Euphydryas desfontainii,"Euphydryas desfontainii (Godart, 1819)",Nymphalidae,Nymphalinae,Euphydryas,desfontainii,NW70-4,NW70-4,Nymphalinae,AY090226,AY090226,TRUE,TRUE,,,,AY090193,,,,,,,AY090159,
Euphydryas iduna,"Euphydryas iduna (Dalman, 1816)",Nymphalidae,Nymphalinae,Euphydryas,iduna,NW28-1,NW28-1,Nymphalinae,AF187776,AF187776,TRUE,TRUE,,,,,,,,,,,MN752849,
Euphydryas intermedia,"Euphydryas intermedia (Ménétriés, 1859)",Nymphalidae,Nymphalinae,Euphydryas,intermedia,NW6-3,NW6-3,Nymphalinae,AF187777,AF187777,TRUE,TRUE,,,,KX824703,,,,,,,KX824735,
Euphydryas maturna,"Euphydryas maturna (Linnaeus, 1758)",Nymphalidae,Nymphalinae,Euphydryas,maturna,NW1-8,NW1-8,Nymphalinae,AF187782,AF187782,TRUE,TRUE,,,,MN752740,,,,,,,MN752848,
Fabriciana adippe,"Fabriciana adippe ([Denis & Schiffermüller], 1775)",Nymphalidae,Heliconiinae,Fabriciana,adippe,NW95-4,NW95-4,Heliconiinae_Limenitidinae,KY773303,KY773303,TRUE,TRUE,,,,KY773347,KY773401,,,,MN752815,KY773505,KY773451,
Fabriciana elisa,"Fabriciana elisa (Godart, 1823)",Nymphalidae,Heliconiinae,Fabriciana,elisa,NW142-17,NW142-17,Heliconiinae_Limenitidinae,KY773297,KY773297,TRUE,TRUE,,,,KY773341,KY773393,,,,,KY773498,KY773445,
Fabriciana niobe,"Fabriciana niobe (Linnaeus, 1758)",Nymphalidae,Heliconiinae,Fabriciana,niobe,NW17892,NW17892,Heliconiinae_Limenitidinae,KY773335,KY773335,TRUE,TRUE,,,,KY773379,KY773439,,MN752774,,,,KY773483,
Favonius quercus,"Favonius quercus (Linnaeus, 1758)",Lycaenidae,Theclinae,Favonius,quercus,MM04799,MM04799,Lycaenidae,GU828706,GU828501,TRUE,TRUE,,JN204939,,GU829029,,,GU830092,GU830410,,GU830694,GU829582,
Freyeria trochylus,"Freyeria trochylus (Freyer, 1844)",Lycaenidae,Polyommatinae,Freyeria,trochylus,VL01L462,VL01L462,Lycaenidae,GQ128955,GQ128955,TRUE,TRUE,,GQ128572,,GQ128644,,GQ128746,,,,,GQ128853,
Gegenes nostrodamus,"Gegenes nostrodamus (Fabricius, 1793)",Hesperiidae,Hesperiinae,Gegenes,nostrodamus,RV06A259,RV06A259,Hesperiinae,GU676828,,FALSE,#N/A,,,,,,,,,,,,
Gegenes pumilio,"Gegenes pumilio (Hoffmansegg, 1804)",Hesperiidae,Hesperiinae,Gegenes,pumilio,Rvcoll.12-M906,RV12M906,Hesperiinae,KP870350,,FALSE,#N/A,,,,,,,,,,,,
Glabroculus cyane,"Glabroculus cyane (Eversmann, 1837)",Lycaenidae,Polyommatinae,Glabroculus,cyane,VL02X159,VL02X159,Lycaenidae,JX093489,JX093489,TRUE,TRUE,,JX093275,,JX093283,,JX093356,,,,,JX093434,
Glaucopsyche alexis,"Glaucopsyche alexis (Poda, 1761)",Lycaenidae,Polyommatinae,Glaucopsyche,alexis,JD03A505,JD03A505,Lycaenidae,AY675413,AY675413,TRUE,FALSE,,,,AY675366,,HQ917971,,,,,,
Glaucopsyche melanops,"Glaucopsyche melanops (Boisduval, 1828)",Lycaenidae,Polyommatinae,Glaucopsyche,melanops,RV08J370,RV08J370,Lycaenidae,JF262055,JF262055,TRUE,TRUE,,,,JF271992,,HQ917969,,,,,HQ918000,
Glaucopsyche paphos,"Glaucopsyche paphos Chapman, 1920",Lycaenidae,Polyommatinae,Glaucopsyche,paphos,EJ15001,EJ15001,Lycaenidae,MN829481,MN829481,TRUE,TRUE,,,,MN829463,,,,,,,,
Gonepteryx cleobule,"Gonepteryx cleobule (Hübner, 1831)",Pieridae,Coliadinae,Gonepteryx,cleobule,AF074004,AF074004,Pieridae,AF074004,,FALSE,#N/A,,,,,,,,,,,,
Gonepteryx cleopatra,"Gonepteryx cleopatra (Linnaeus, 1767)",Pieridae,Coliadinae,Gonepteryx,cleopatra,RE-07-G166,RE07G166,Pieridae,KM046813,,TRUE,TRUE,,KM046524,,,KM046870,,KM046761,,,KM046630,KM046578,
Gonepteryx farinosa,"Gonepteryx farinosa (Zeller, 1847)",Pieridae,Coliadinae,Gonepteryx,farinosa,LOWA319-06,2005-LOWA-319,Pieridae,FJ663593,,FALSE,#N/A,,,,,,,,,,,,
Gonepteryx maderensis,"Gonepteryx maderensis Felder, 1862",Pieridae,Coliadinae,Gonepteryx,maderensis,MW17012,MW17012,Pieridae,MN829482,MN829482,TRUE,TRUE,,,,MN829464,,,,,,,,
Gonepteryx rhamni,"Gonepteryx rhamni (Linnaeus, 1758)",Pieridae,Coliadinae,Gonepteryx,rhamni,NW17718,NW17718,Pieridae,MN752715,MN752715,TRUE,TRUE,,MN752804,,MN752735,MN752794,,MN752770,,,MN752759,MN752844,
Hamearis lucina,"Hamearis lucina (Linnaeus, 1758)",Riodinidae,Nemeobiinae,Hamearis,lucina,NW84-13,NW84-13,Lycaenidae,DQ018953,DQ018953,TRUE,TRUE,EU141287,EU141346,EU141438,DQ018920,,EU141648,EU141584,EU141648,EU141702,EU141425,DQ018890,
Hesperia comma,"Hesperia comma (Linnaeus, 1758)",Hesperiidae,Hesperiinae,Hesperia,comma,VL05N271,VL05N271,Hesperiinae,PRJNA432311,PRJNA432311,TRUE,FALSE,,PRJNA432311,,PRJNA432311,PRJNA432311,,PRJNA432311,PRJNA432311,PRJNA432311,PRJNA432311,AY700716,
Heteropterus morpheus,"Heteropterus morpheus (Pallas, 1771)",Hesperiidae,Heteropterinae,Heteropterus,morpheus,ZF-LY-002552,ZFLY2552,Hesperiinae,KY019772,KY019772,TRUE,TRUE,,,,KY014365,KY027571,,,KY028080,,,KY019980,
Hipparchia aristaeus,"Hipparchia aristaeus (Bonelli, 1826)",Nymphalidae,Satyrinae,Hipparchia,aristaeus,JL9-14,JL9-14,Satyrinae2,MN752716,MN752716,TRUE,TRUE,,,,,MN752784,,,,,,MN752835,
Hipparchia autonoe,"Hipparchia autonoe (Esper, 1783)",Nymphalidae,Satyrinae,Hipparchia,autonoe,NW173-1,NW173-1,Satyrinae2,MN752717,,TRUE,FALSE,,,,GU372609,MN752791,,,,,,KM200294,
Hipparchia azorina,"Hipparchia azorina (Strecker, 1899)",Nymphalidae,Satyrinae,Hipparchia,azorina,MW16004,MW16004,Satyrinae2,MN829483,MN829483,TRUE,TRUE,,,,MN829465,,,,,,,,
Hipparchia bacchus,"Hipparchia bacchus (Higgins, 1967)",Nymphalidae,Satyrinae,Hipparchia,bacchus,MW17008,MW17008,Satyrinae2,MN829484,MN829484,TRUE,TRUE,,,,MN829466,,,,,,,,
Hipparchia blachieri,"Hipparchia blachieri (Fruhstorfer, 1908)",Nymphalidae,Satyrinae,Hipparchia,blachieri,WMB543-11,WMB543-11,Satyrinae2,MN140776,,FALSE,#N/A,,,,,,,,,,,,
Hipparchia christenseni,"Hipparchia christenseni Kudrna, 1977",Nymphalidae,Satyrinae,Hipparchia,christenseni,EULEP674-15,RVcoll.11-J514,Satyrinae2,EULEP674-15,,FALSE,#N/A,,,,,,,,,,,,
Hipparchia cretica,"Hipparchia cretica (Rebel, 1916)",Nymphalidae,Satyrinae,Hipparchia,cretica,JL9-2,JL9-2,Satyrinae2,MN752718,MN752718,TRUE,FALSE,,,,MN829467,MN752786,,,,,,MN752837,
Hipparchia cypriensis,"Hipparchia cypriensis (Holik, 1949)",Nymphalidae,Satyrinae,Hipparchia,cypriensis,GWOSF829-10,BC_ZSM_Lep_45815,Satyrinae2,JF850406,,FALSE,#N/A,,,,,,,,,,,,
Hipparchia fagi,"Hipparchia fagi (Scopoli, 1763)",Nymphalidae,Satyrinae,Hipparchia,fagi,RV06V700,RV06V700,Satyrinae2,HQ004526,,FALSE,#N/A,,,,,,,,,,,,
Hipparchia fatua,"Hipparchia fatua Freyer, 1843",Nymphalidae,Satyrinae,Hipparchia,fatua,EW25-24,EW25-24,Satyrinae2,DQ338596,DQ338596,TRUE,TRUE,,,,DQ339024,GQ357503,,,,,GQ357629,DQ338733,
Hipparchia fidia,"Hipparchia fidia (Linnaeus, 1767)",Nymphalidae,Satyrinae,Hipparchia,fidia,JL9-6,JL9-6,Satyrinae2,MN752719,MN752719,TRUE,TRUE,,,,,MN752787,,,,,,MN752838,
Hipparchia gomera,"Hipparchia gomera (Higgins, 1967)",Nymphalidae,Satyrinae,Hipparchia,gomera,PO15002,PO15002,Satyrinae2,MN829485,MN829485,TRUE,TRUE,,,,MN829468,,,,,,,,
Hipparchia hermione,"Hipparchia hermione (Linnaeus, 1764)",Nymphalidae,Satyrinae,Hipparchia,hermione,RV08H962,RV08H962,Satyrinae2,GU676908,,FALSE,#N/A,,,,,,,,,,,,
Hipparchia leighebi,"Hipparchia leighebi Kudrna, 1976",Nymphalidae,Satyrinae,Hipparchia,leighebi,WMB2771-13,WMB2771-13,Satyrinae2,MN140898,,FALSE,#N/A,,,,,,,,,,,,
Hipparchia maderensis,"Hipparchia maderensis (Bethune-Baker, 1891)",Nymphalidae,Satyrinae,Hipparchia,maderensis,MW16017,MW16017,Satyrinae2,MN829486,MN829486,FALSE,TRUE,,,,,,,,,,,,
Hipparchia mersina,"Hipparchia mersina (Staudinger, 1871)",Nymphalidae,Satyrinae,Hipparchia,mersina,JL9-19,JL9-19,Satyrinae2,MN752720,MN752720,TRUE,FALSE,,,,MN829469,MN752785,,,,,,MN752836,
Hipparchia miguelensis,"Hipparchia miguelensis (Le Cerf, 1935)",Nymphalidae,Satyrinae,Hipparchia,miguelensis,XM01002,XM01002,Satyrinae2,MN829487,MN829487,FALSE,TRUE,,,,,,,,,,,,
Hipparchia neapolitana,"Hipparchia neapolitana (Stauder, 1921)",Nymphalidae,Satyrinae,Hipparchia,neapolitana,WMB4615-14,WMB4615-14,Satyrinae2,MN143731,,FALSE,#N/A,,,,,,,,,,,,
Hipparchia neomiris,"Hipparchia neomiris (Godart, 1823)",Nymphalidae,Satyrinae,Hipparchia,neomiris,JL9-13,JL9-13,Satyrinae2,MN752721,MN752721,TRUE,TRUE,,,,,MN752783,,,,,,,
Hipparchia pellucida,"Hipparchia pellucida (Stauder, 1924)",Nymphalidae,Satyrinae,Hipparchia,pellucida,NW175-1,NW175-1,Satyrinae2,MN752722,,TRUE,FALSE,,,,KY000501,MN752792,,,,,,MN752842,
Hipparchia sbordonii,"Hipparchia sbordonii Kudrna, 1984",Nymphalidae,Satyrinae,Hipparchia,sbordonii,JL24-02,JL24-02,Satyrinae2,MN752723,MN752723,FALSE,TRUE,,,,,,,,,,,,
Hipparchia semele,"Hipparchia semele (Linnaeus, 1758)",Nymphalidae,Satyrinae,Hipparchia,semele,EW24-25,EW24-25,Satyrinae2,DQ338868,DQ338868,TRUE,TRUE,,,,DQ339023,,,,,,,DQ338732,
Hipparchia senthes,"Hipparchia senthes (Fruhstorfer, 1908)",Nymphalidae,Satyrinae,Hipparchia,senthes,GWOSK606-11,BC_ZSM_Lep_45307,Satyrinae2,KX041070,,FALSE,#N/A,,,,,,,,,,,,
Hipparchia statilinus,"Hipparchia statilinus (Hufnagel, 1766)",Nymphalidae,Satyrinae,Hipparchia,statilinus,RV07F536,RV07F536,Satyrinae2,HQ004537,,FALSE,#N/A,,,,,,,,,,,,
Hipparchia syriaca,"Hipparchia syriaca (Staudinger, 1871)",Nymphalidae,Satyrinae,Hipparchia,syriaca,NW172-19,NW172-19,Satyrinae2,MN752724,,TRUE,TRUE,,,,,MN752790,,,,,,MN752841,
Hipparchia tamadabae,"Hipparchia tamadabae Owen & Smith, 1992",Nymphalidae,Satyrinae,Hipparchia,tamadabae,MW11002,MW11002,Satyrinae2,MN829488,,FALSE,#N/A,,,,,,,,,,,,
Hipparchia tilosi,"Hipparchia tilosi Manil, 1984",Nymphalidae,Satyrinae,Hipparchia,tilosi,BT96001,BT96001,Satyrinae2,MN829489,,FALSE,#N/A,,,,,,,,,,,,
Hipparchia volgensis,"Hipparchia volgensis (Mazokhin-Porshnyakov, 1952)",Nymphalidae,Satyrinae,Hipparchia,volgensis,JL8-28,JL8-28,Satyrinae2,MN752725,MN752725,TRUE,FALSE,,,,KY000502,MN752782,,,,,,MN752834,
Hipparchia wyssii,"Hipparchia wyssii (Christ, 1889)",Nymphalidae,Satyrinae,Hipparchia,wyssii,JG15001,JG15001,Satyrinae2,MN829490,MN829490,TRUE,TRUE,,,,MN829470,,,,,,,,
Hypolimnas misippus,"Hypolimnas misippus (Linnaeus, 1764)",Nymphalidae,Nymphalinae,Hypolimnas,misippus,NW68-3,NW68-3,Nymphalinae,AY788635,AY788635,TRUE,TRUE,MG886947,MG887019,,AY788754,MG887109,,,MG887199,MG887303,MG887406,AY788515,
Hyponephele huebneri,"Hyponephele huebneri Koçak, 1980",Nymphalidae,Satyrinae,Hyponephele,huebneri,LOWA178-06,2005-LOWA-178,Satyrinae2,FJ663658,,FALSE,#N/A,,,,,,,,,,,,
Hyponephele lupina,"Hyponephele lupina (Costa, 1836)",Nymphalidae,Satyrinae,Hyponephele,lupina,LOWA028-06,2005-LOWA-28,Satyrinae2,FJ663647,,TRUE,FALSE,,,,DQ338989,,,,,,,,
Hyponephele lycaon,"Hyponephele lycaon (Kühn, 1774)",Nymphalidae,Satyrinae,Hyponephele,lycaon,RV03-H595,RV03-H595,Satyrinae2,KT448686,KT448686,TRUE,TRUE,,,,KT448655,,,,,,,KT448714,
Iolana debilitata,"Iolana debilitata (Schultz, 1905)",Lycaenidae,Polyommatinae,Iolana,debilitata,JC96Q003,JC96Q003,Lycaenidae,AY675414,AY675414,TRUE,FALSE,,,,AY675367,,,,,,,HQ918002,
Iolana iolas,"Iolana iolas (Ochsenheimer, 1816)",Lycaenidae,Polyommatinae,Iolana,iolas,MW15008,MW15008,Lycaenidae,MN829491,MN829491,TRUE,FALSE,,,,,,HQ917972,,,,,,
Iphiclides feisthamelii,"Iphiclides feisthamelii (Duponchel, 1832)",Papilionidae,Papilioninae,Iphiclides,feisthamelii,MW01114,MW01114,Papilionidae,AY556964,,TRUE,TRUE,,,,GQ374237,,,,,,,,
Iphiclides podalirius,"Iphiclides podalirius (Linnaeus, 1758)",Papilionidae,Papilioninae,Iphiclides,podalirius,FS-a-6,FS-a-6,Papilionidae,AF170873,AF170873,TRUE,TRUE,,,,AF173413,,,,,,MN752751,DQ351129,
Issoria eugenia,"Issoria eugenia (Eversmann, 1847)",Nymphalidae,Heliconiinae,Issoria,eugenia,NW131-4,NW131-4,Heliconiinae_Limenitidinae,DQ922857,DQ922857,TRUE,TRUE,GQ864554,GQ864665,,DQ922889,GQ864986,,GQ865111,,GQ865334,GQ865455,DQ922825,
Issoria lathonia,"Issoria lathonia (Linnaeus, 1758)",Nymphalidae,Heliconiinae,Issoria,lathonia,NW118-22,NW118-22,Heliconiinae_Limenitidinae,DQ922854,DQ922854,TRUE,TRUE,,,,DQ922886,KY773384,,,,,KY773489,DQ922822,
Kirinia climene,"Kirinia climene (Esper, 1783)",Nymphalidae,Satyrinae,Kirinia,climene,CP10-08,CP10-08,Satyrinae1,GQ357184,GQ357184,TRUE,TRUE,,,,GQ357252,GQ357386,,,,,GQ357514,GQ357318,
Kirinia roxelana,"Kirinia roxelana (Cramer, 1777)",Nymphalidae,Satyrinae,Kirinia,roxelana,CP10-09,CP10-09,Satyrinae1,DQ338767,DQ338767,TRUE,TRUE,,,,DQ338908,GQ357387,,,,,GQ357515,DQ338615,
Kretania eurypilus,"Kretania eurypilus (Freyer, 1851)",Lycaenidae,Polyommatinae,Kretania,eurypilus,VL01L152,VL01L152,Lycaenidae,JX093457,JX093457,TRUE,TRUE,,JX093265,,JX093298,,JX093345,,,,,JX093433,
Kretania hesperica,"Kretania hesperica (Rambur, 1839)",Lycaenidae,Polyommatinae,Kretania,hesperica,RVcoll.06-K689,RV06K689,Lycaenidae,GU676770,,FALSE,#N/A,,,,,,,,,,,,
Kretania psylorita,"Kretania psylorita (Freyer, 1845)",Lycaenidae,Polyommatinae,Kretania,psylorita,KerPsy,KrePsy,Lycaenidae,KU310890,,FALSE,#N/A,,,,,,,,,,,,
Kretania pylaon,"Kretania pylaon (Fischer, 1832)",Lycaenidae,Polyommatinae,Kretania,pylaon,AD00P066,AD00P066,Lycaenidae,GQ128990,GQ128990,TRUE,TRUE,,GQ128608,,GQ128679,,GQ128781,,,,,GQ128888,
Kretania sephirus,"Kretania sephirus (Frivaldszky, 1835)",Lycaenidae,Polyommatinae,Kretania,sephirus,RV07D404,RV07D404,Lycaenidae,HQ004999,,FALSE,#N/A,,,,,,,,,,,,
Kretania trappi,"Kretania trappi (Verity, 1927)",Lycaenidae,Polyommatinae,Kretania,trappi,LEATG565-14,GBIFCH-BOL_LEPAA_0690,Lycaenidae,MK186460,,FALSE,#N/A,,,,,,,,,,,,
Laeosopis roboris,"Laeosopis roboris (Esper, 1789)",Lycaenidae,Theclinae,Laeosopis,roboris,RV08H913,RV08H913,Lycaenidae,GU676882,,FALSE,#N/A,,,,,,,,,,,,
Lampides boeticus,"Lampides boeticus (Linnaeus, 1767)",Lycaenidae,Polyommatinae,Lampides,boeticus,MWT93E012,MWT93E012,Lycaenidae,GQ129023,GQ129023,TRUE,TRUE,,,,GQ128712,,GQ128819,,,,,GQ128924,
Lasiommata deidamia,"Lasiommata deidamia (Eversmann, 1851)",Nymphalidae,Satyrinae,Lasiommata,deidamia,JL13-23,JL13-23,Satyrinae1,MN752726,MN752726,TRUE,FALSE,,,,JX185962,,,,,,,,
Lasiommata maera,"Lasiommata maera (Linnaeus, 1758)",Nymphalidae,Satyrinae,Lasiommata,maera,JL7-7,JL7-7,Satyrinae1,MN752727,MN752727,TRUE,TRUE,,,,,,,,,,,DQ176328,
Lasiommata megera,"Lasiommata megera (Linnaeus, 1767)",Nymphalidae,Satyrinae,Lasiommata,megera,EW24-23,EW24-23,Satyrinae1,DQ176351,DQ176351,TRUE,TRUE,,,,GQ357253,GQ357388,,,,,GQ357516,DQ176326,
Lasiommata paramegaera,"Lasiommata paramegaera (Hübner, 1824)",Nymphalidae,Satyrinae,Lasiommata,paramegaera,WMB1148-13,RV11E157,Satyrinae1,MH420194,,FALSE,#N/A,,,,,,,,,,,,
